PROGRESS:
--------------------
Adam: 1 -> 2, [1] - move
Adam: 1 -> 7, [6] - move
Karl: 24 -> 21, [3] - move
Karl: 24 -> 22, [2] - move
Adam: 17 -> 21, [4] - KILL
Adam: 19 -> 21, [2] - SAVE
Karl: BAR -> 23, [2] - move
Karl: 23 -> 22, [1] - SAVE
Adam: 2 -> 5, [3] - move
Adam: 5 -> 9, [4] - move
Karl: 13 -> 7, [6] - KILL
Karl: 7 -> 6, [1] - SAVE
Adam: BAR -> 1, [1] - move
Adam: 9 -> 14, [5] - move
Karl: 22 -> 20, [2] - move
Karl: 20 -> 14, [6] - KILL
Adam: BAR -> 4, [4] - move
Adam: 1 -> 7, [6] - move
Karl: 8 -> 4, [4] - KILL
Karl: 6 -> 4, [2] - SAVE
Adam: BAR -> 1, [1] - move
Adam: 1 -> 5, [4] - move
Karl: 14 -> 9, [5] - move
Karl: 9 -> 4, [5] - SAVE
Karl: 13 -> 8, [5] - move
Karl: 13 -> 8, [5] - move
Adam: 5 -> 11, [6] - move
Adam: 11 -> 17, [6] - SAVE
Adam: 12 -> 18, [6] - move
Adam: 12 -> 18, [6] - SAVE
Karl: 13 -> 7, [6] - KILL
Karl: 22 -> 20, [2] - move
Adam: BAR -> 5, [5] - move
Adam: 5 -> 10, [5] - move
Adam: 10 -> 15, [5] - move
Adam: 15 -> 20, [5] - KILL
Karl: BAR -> 23, [2] - move
Karl: 13 -> 9, [4] - move
Adam: 18 -> 20, [2] - SAVE
Adam: 19 -> 23, [4] - KILL
Adam: 21 -> 23, [2] - SAVE
Adam: 20 -> 21, [1] - SAVE
Karl: BAR -> 20, [5] - KILL
Karl: 20 -> 16, [4] - move
Adam: BAR -> 2, [2] - move
Adam: 12 -> 16, [4] - KILL
Karl: BAR -> 24, [1] - move
Karl: 7 -> 6, [1] - SAVE
Karl: 9 -> 8, [1] - SAVE
Karl: 8 -> 7, [1] - move
Adam: 18 -> 19, [1] - SAVE
Adam: 12 -> 14, [2] - move
Karl: 8 -> 2, [6] - KILL
Karl: 4 -> 2, [2] - SAVE
Karl: 7 -> 6, [1] - SAVE
Karl: 24 -> 18, [6] - move
Karl: 18 -> 14, [4] - KILL
Karl: 14 -> 9, [5] - move
Karl: 9 -> 6, [3] - SAVE
Karl: 8 -> 2, [6] - move
Karl: 8 -> 4, [4] - move
Karl: 8 -> 6, [2] - SAVE
Adam: BAR -> 1, [1] - move
Adam: BAR -> 3, [3] - move
Karl: 6 -> 3, [3] - KILL
Karl: 3 -> 2, [1] - SAVE
Adam: BAR -> 1, [1] - SAVE
Adam: 1 -> 7, [6] - move
Karl: 6 -> 1, [5] - KILL
Karl: 1 -> OFF, [1] - END
Karl: 6 -> 3, [3] - move
Karl: 6 -> 1, [5] - move
Adam: BAR -> 5, [5] - move
Adam: 5 -> 11, [6] - move
Karl: 6 -> 1, [5] - SAVE
Karl: 6 -> 1, [5] - move
Karl: 6 -> 1, [5] - move
Karl: 6 -> 1, [5] - move
Adam: 12 -> 16, [4] - SAVE
Adam: 11 -> 17, [6] - SAVE
Karl: 2 -> OFF, [2] - END
Karl: 1 -> OFF, [1] - END
Adam: 7 -> 11, [4] - move
Adam: 11 -> 16, [5] - SAVE
Karl: 3 -> OFF, [3] - END
Karl: 6 -> 1, [5] - SAVE
Adam: 16 -> 18, [2] - move
Adam: 18 -> 19, [1] - SAVE
Karl: 2 -> OFF, [2] - END
Karl: 1 -> OFF, [1] - END
Adam: 16 -> 21, [5] - move
Adam: 16 -> 17, [1] - SAVE
Karl: 4 -> OFF, [6] - END
Karl: 2 -> OFF, [2] - END
Adam: 17 -> 19, [2] - move
Adam: 17 -> 19, [2] - move
Adam: 17 -> 19, [2] - move
Adam: 17 -> 19, [2] - move
Karl: 4 -> OFF, [5] - END
Karl: 2 -> OFF, [2] - END
Adam: 17 -> 21, [4] - SAVE
Adam: 19 -> OFF, [6] - END
Karl: 4 -> OFF, [4] - END
Karl: 1 -> OFF, [4] - END
Karl: 1 -> OFF, [4] - END
Karl: 1 -> OFF, [4] - END
Adam: 19 -> OFF, [6] - END
Adam: 21 -> OFF, [4] - END
Karl: 1 -> OFF, [6] - END
Adam: 19 -> OFF, [6] - END
Adam: 21 -> OFF, [4] - END
Adam: 19 -> OFF, [6] - END
Adam: 19 -> 20, [1] - move
Adam: 1 -> 3, [2] - move
Adam: 1 -> 3, [2] - SAVE
Adam: 3 -> 7, [4] - move
Adam: 7 -> 10, [3] - move
Karl: 24 -> 20, [4] - move
Karl: 24 -> 22, [2] - move
Adam: 17 -> 22, [5] - KILL
Adam: 3 -> 7, [4] - move
Adam: 17 -> 22, [5] - SAVE
Adam: 17 -> 19, [2] - SAVE
Adam: 10 -> 12, [2] - SAVE
Adam: 7 -> 10, [3] - move
Karl: BAR -> 23, [2] - move
Karl: 8 -> 7, [1] - move
Adam: 10 -> 16, [6] - move
Adam: 16 -> 19, [3] - SAVE
Karl: 23 -> 21, [2] - move
Karl: 21 -> 16, [5] - move
Adam: 21 -> OFF, [4] - END
Adam: 19 -> 20, [1] - move
Karl: 1 -> OFF, [6] - END
